GSM_IDENTIFIER	TYPE_NOVEL	CLASS	TYPE
GSM329870	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330229	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330194	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329853	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330042	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329796	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329806	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330365	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330112	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330136	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329817	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329859	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329865	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330150	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330375	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329758	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329718	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330258	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330169	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330125	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329948	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330201	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330001	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329943	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329818	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330163	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330115	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330374	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329805	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330361	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330017	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329971	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329895	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330006	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329930	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329966	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329725	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329850	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329917	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329490	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329902	Leukemia	Tumor	Acute lymphoblastic leukemia
