"GROUP"	"LABEL"
"506"	27	"GSM523246"
"507"	27	"GSM523274"
"508"	27	"GSM750883"
"509"	27	"GSM750884"
"510"	27	"GSM523243"
"511"	27	"GSM523245"
"512"	27	"GSM523272"
"513"	27	"GSM523255"
"514"	27	"GSM523260"
"515"	27	"GSM523276"
"516"	27	"GSM750882"
"517"	27	"GSM523279"
"518"	27	"GSM523265"
"519"	27	"GSM523266"
"520"	27	"GSM523264"
"521"	27	"GSM523267"
"522"	27	"GSM337498"
"523"	27	"GSM337505"
"524"	27	"GSM337492"
"525"	27	"GSM337502"
"526"	27	"GSM337504"
"527"	27	"GSM337544"
"528"	27	"GSM337516"
"529"	27	"GSM337511"
"530"	27	"GSM337509"
"531"	27	"GSM337512"
"532"	27	"GSM570825"
"533"	27	"GSM337529"
"534"	27	"GSM337520"
"535"	27	"GSM337533"
"536"	27	"GSM337537"
"537"	27	"GSM337540"
"538"	27	"GSM337532"
"539"	27	"GSM337539"
"540"	53	"GSM358463"
"541"	53	"GSM358429"
"542"	53	"GSM734147"
"543"	53	"GSM358387"
"544"	53	"GSM358597"
"545"	53	"GSM358607"
"546"	53	"GSM734115"
"547"	53	"GSM523383"
"548"	53	"GSM523283"
"549"	53	"GSM358628"
"550"	53	"GSM327348"
"551"	53	"GSM358558"
"552"	53	"GSM358389"
"553"	53	"GSM327297"
"554"	53	"GSM358614"
"555"	53	"GSM358603"
"556"	53	"GSM734139"
"557"	53	"GSM358494"
"558"	53	"GSM358411"
"559"	53	"GSM358504"
"560"	53	"GSM318104"
"561"	53	"GSM358575"
"562"	53	"GSM734130"
"563"	53	"GSM358364"
"564"	53	"GSM358530"
"565"	53	"GSM353890"
"566"	53	"GSM117642"
"567"	53	"GSM138044"
"568"	53	"GSM89069"
"569"	53	"GSM88963"
"570"	53	"GSM972297"
"571"	53	"GSM972232"
"572"	53	"GSM179882"
"573"	53	"GSM76617"
"574"	53	"GSM89074"
"575"	53	"GSM117662"
"576"	53	"GSM117635"
"577"	53	"GSM88982"
"578"	53	"GSM117760"
"579"	53	"GSM179887"
"580"	53	"GSM138018"
"581"	53	"GSM88968"
"582"	53	"GSM152572"
"583"	53	"GSM152790"
"584"	53	"GSM117652"
"585"	53	"GSM137947"
"586"	53	"GSM152684"
"587"	53	"GSM152692"
"588"	53	"GSM152703"
"589"	53	"GSM152750"
"590"	53	"GSM89100"
"591"	53	"GSM102549"
"592"	53	"GSM102533"
"593"	53	"GSM102535"
"594"	53	"GSM89096"
"595"	53	"GSM152762"
"596"	53	"GSM137998"
"597"	53	"GSM117672"
"598"	53	"GSM117707"
"599"	53	"GSM117678"
"600"	53	"GSM102551"
"601"	53	"GSM117681"
"602"	53	"GSM76607"
"603"	53	"GSM53083"
"604"	53	"GSM179795"
"605"	53	"GSM117746"
"606"	53	"GSM138021"
"607"	53	"GSM117709"
"608"	53	"GSM231943"
"609"	53	"GSM53178"
"610"	53	"GSM138042"
"611"	53	"GSM53132"
"612"	53	"GSM179803"
"613"	53	"GSM89040"
"614"	53	"GSM89044"
"615"	53	"GSM53142"
"616"	53	"GSM76571"
"617"	53	"GSM76546"
"618"	53	"GSM76524"
"619"	53	"GSM89103"
"620"	53	"GSM102485"
"621"	53	"GSM179920"
"622"	53	"GSM231875"
"623"	53	"GSM179778"
"624"	53	"GSM1275095"
"625"	53	"GSM1275077"
"626"	53	"GSM53070"
"627"	53	"GSM358419"
"628"	53	"GSM734151"
"629"	53	"GSM76611"
"630"	53	"GSM117775"
"631"	53	"GSM53073"
"632"	53	"GSM76576"
"633"	53	"GSM102516"
"634"	53	"GSM102497"
"635"	53	"GSM53153"
"636"	53	"GSM53045"
"637"	53	"GSM117742"
"638"	53	"GSM117752"
"639"	53	"GSM102524"
"640"	53	"GSM152714"
"641"	53	"GSM152675"
"642"	53	"GSM117676"
"643"	53	"GSM117728"
"644"	53	"GSM102568"
"645"	53	"GSM102572"
"646"	53	"GSM102519"
"647"	53	"GSM117702"
"648"	53	"GSM102460"
"649"	53	"GSM89049"
"650"	53	"GSM137964"
"651"	53	"GSM152582"
"652"	53	"GSM117684"
"653"	53	"GSM117673"
"654"	53	"GSM325796"
"655"	53	"GSM102501"
"656"	53	"GSM102577"
"657"	53	"GSM152579"
"658"	53	"GSM972299"
"659"	53	"GSM88976"
"660"	53	"GSM102472"
"661"	53	"GSM102539"
"662"	53	"GSM137929"
"663"	53	"GSM53156"
"664"	53	"GSM102559"
"665"	53	"GSM88994"
"666"	53	"GSM358384"
"667"	53	"GSM53113"
"668"	53	"GSM76575"
"669"	53	"GSM53055"
"670"	53	"GSM76573"
"671"	53	"GSM76522"
"672"	53	"GSM76629"
"673"	53	"GSM350431"
"674"	53	"GSM350415"
"675"	53	"GSM350465"
"676"	53	"GSM350445"
"677"	53	"GSM350457"
"678"	53	"GSM53039"
"679"	53	"GSM350471"
"680"	53	"GSM350451"
"681"	53	"GSM350447"
"682"	53	"GSM350473"
"683"	53	"GSM350420"
"684"	53	"GSM350413"
"685"	53	"GSM588847"
"686"	53	"GSM350416"
"687"	53	"GSM350434"
"688"	53	"GSM1038353"
"689"	53	"GSM588858"
"690"	53	"GSM588857"
"691"	53	"GSM588860"
"692"	53	"GSM588861"
"693"	53	"GSM1014807"
"694"	53	"GSM131873"
"695"	53	"GSM1014817"
"696"	53	"GSM131883"
"697"	53	"GSM358409"
"698"	53	"GSM358515"
"699"	53	"GSM358513"
"700"	53	"GSM734116"
"701"	53	"GSM358584"
"702"	53	"GSM358426"
"703"	53	"GSM358436"
"704"	53	"GSM234917"
"705"	53	"GSM234913"
"706"	53	"GSM234925"
"707"	53	"GSM234914"
"708"	53	"GSM234922"
"709"	53	"GSM234915"
"710"	53	"GSM234916"
"711"	53	"GSM459858"
"712"	53	"GSM234909"
"713"	53	"GSM138037"
"714"	53	"GSM138039"
"715"	53	"GSM138036"
"716"	53	"GSM137949"
"717"	53	"GSM387807"
"718"	53	"GSM117664"
"719"	53	"GSM137972"
"720"	53	"GSM588846"
"721"	53	"GSM76494"
"722"	53	"GSM350470"
"723"	53	"GSM137993"
"724"	53	"GSM137999"
"725"	53	"GSM137942"
"726"	53	"GSM53135"
"727"	53	"GSM102518"
"728"	53	"GSM102574"
"729"	53	"GSM1251560"
"730"	53	"GSM811004"
"731"	53	"GSM661768"
"732"	53	"GSM967639"
"733"	53	"GSM967633"
