"GROUP"	"LABEL"
"196"	2	"TCGA.04.1362.01A.01R.1565.13"
"197"	2	"TCGA.57.1994.01A.01R.1568.13"
"198"	2	"TCGA.24.2297.01A.01R.1568.13"
"199"	2	"TCGA.61.2008.02A.01R.1568.13"
"200"	2	"TCGA.13.1511.01A.01R.1565.13"
"201"	2	"TCGA.24.2298.01A.01R.1569.13"
"202"	2	"TCGA.24.1928.01A.01R.1567.13"
"203"	2	"TCGA.25.1320.01A.01R.1565.13"
"204"	2	"TCGA.25.1329.01A.01R.1565.13"
"205"	2	"TCGA.24.2026.01A.01R.1567.13"
"206"	2	"TCGA.29.1763.01A.02R.1567.13"
"207"	2	"TCGA.61.1724.01A.01R.1568.13"
"208"	2	"TCGA.23.1111.01A.01R.1567.13"
"209"	2	"TCGA.13.1403.01A.01R.1565.13"
"210"	2	"TCGA.25.2397.01A.01R.1569.13"
"211"	2	"TCGA.E9.A1R2.01A.11R.A14D.07"
"212"	2	"TCGA.GM.A2DC.01A.11R.A18M.07"
"213"	2	"TCGA.ZN.A9VP.01A.11R.A40A.07"
"214"	2	"TCGA.25.2409.01A.01R.1569.13"
"215"	2	"TCGA.29.1694.01A.01R.1567.13"
"216"	2	"TCGA.25.1870.01A.01R.1567.13"
"217"	2	"TCGA.25.1318.01A.01R.1565.13"
"218"	2	"TCGA.30.1862.01A.02R.1568.13"
"219"	2	"TCGA.36.1578.01A.01R.1566.13"
"220"	2	"TCGA.29.1778.01A.01R.1567.13"
"221"	2	"TCGA.61.1918.01A.01R.1568.13"
"222"	2	"TCGA.57.1584.01A.01R.1566.13"
"223"	2	"TCGA.09.2045.01A.01R.1568.13"
"224"	2	"TCGA.36.1568.01A.01R.1566.13"
"225"	2	"TCGA.CH.5754.01A.11R.1580.07"
"226"	2	"TCGA.24.1604.01A.01R.1566.13"
"227"	2	"TCGA.61.2104.01A.01R.1568.13"
"228"	2	"TCGA.63.A5MS.01A.11R.A26W.07"
"229"	2	"TCGA.68.A59I.01A.11R.A262.07"
"230"	2	"TCGA.56.8628.01A.11R.2403.07"
"231"	2	"TCGA.49.AARO.01A.12R.A41B.07"
"232"	2	"TCGA.MP.A4T9.01A.11R.A24X.07"
"233"	2	"TCGA.MP.A4TK.01A.11R.A24X.07"
"234"	2	"TCGA.EA.A1QS.01A.61R.A22U.07"
"235"	2	"TCGA.85.A50M.01A.21R.A262.07"
"236"	2	"TCGA.55.8614.01A.11R.2403.07"
"237"	2	"TCGA.MN.A4N4.01A.12R.A24X.07"
"238"	2	"TCGA.77.8145.01A.11R.2247.07"
"239"	2	"TCGA.56.8626.01A.11R.2403.07"
"240"	2	"TCGA.85.8350.01A.11R.2296.07"
"241"	2	"TCGA.91.6840.01A.11R.1949.07"
"242"	2	"TCGA.22.1011.01A.01R.0692.07"
"243"	2	"TCGA.63.7020.01A.11R.1949.07"
"244"	2	"TCGA.NK.A5CX.01A.11R.A26W.07"
"245"	2	"TCGA.92.8065.01A.11R.2247.07"
"246"	2	"TCGA.22.1016.01A.01R.0692.07"
"247"	2	"TCGA.58.8386.01A.11R.2296.07"
"248"	2	"TCGA.22.1002.01A.01R.0692.07"
"249"	2	"TCGA.34.8455.01A.11R.2326.07"
"250"	2	"TCGA.60.2721.01A.01R.0851.07"
"251"	2	"TCGA.56.A5DS.01A.11R.A27Q.07"
"252"	2	"TCGA.98.A53B.01A.11R.A262.07"
"253"	2	"TCGA.04.1514.01A.01R.1566.13"
"254"	2	"TCGA.D8.A1XD.01A.11R.A14D.07"
"255"	2	"TCGA.25.1871.01A.01R.1567.13"
"256"	2	"TCGA.61.2098.01A.01R.1568.13"
"257"	2	"TCGA.24.1430.01A.01R.1566.13"
"258"	2	"TCGA.25.1317.01A.01R.1565.13"
"259"	2	"TCGA.LN.A7HY.01A.12R.A354.31"
"260"	2	"TCGA.24.1418.01A.01R.1565.13"
"261"	2	"TCGA.25.1628.01A.01R.1566.13"
"262"	2	"TCGA.N8.A4PN.01A.11R.A28V.07"
"263"	2	"TCGA.63.A5MW.01A.11R.A26W.07"
"264"	2	"TCGA.58.8390.01A.11R.2326.07"
"265"	2	"TCGA.50.5931.01A.11R.1755.07"
"266"	2	"TCGA.25.1324.01A.01R.1565.13"
"267"	2	"TCGA.24.1424.01A.01R.1565.13"
"268"	2	"TCGA.61.1741.01A.02R.1567.13"
"269"	2	"TCGA.OY.A56P.01A.12R.A406.31"
"270"	2	"TCGA.29.A5NZ.01A.11R.A406.31"
"271"	2	"TCGA.5X.AA5U.01A.11R.A406.31"
"272"	2	"TCGA.IG.A5S3.01A.11R.A28J.31"
"273"	2	"TCGA.FX.A76Y.01A.11R.A355.07"
"274"	2	"TCGA.X2.A95T.01A.11R.A37L.07"
"275"	2	"TCGA.A7.A2KD.01A.31R.A21T.07"
"276"	2	"TCGA.BH.A0B5.01A.11R.A12P.07"
"277"	2	"TCGA.E9.A1N5.01A.11R.A14D.07"
"278"	2	"TCGA.2H.A9GG.01A.11R.A37I.31"
"279"	2	"TCGA.24.2036.01A.01R.1568.13"
"280"	2	"TCGA.24.2254.01A.01R.1568.13"
"281"	2	"TCGA.77.8133.01A.12R.2247.07"
"282"	2	"TCGA.96.8170.01A.11R.2296.07"
"283"	2	"TCGA.UT.A88G.01B.11R.A40A.07"
"284"	2	"TCGA.58.8388.01A.11R.2326.07"
"285"	2	"TCGA.G2.A3VY.01A.11R.A22U.07"
"286"	2	"TCGA.A7.A4SB.01A.21R.A266.07"
"287"	2	"TCGA.LQ.A4E4.01A.11R.A266.07"
"288"	2	"TCGA.J2.A4AD.01A.11R.A24H.07"
"289"	2	"TCGA.MP.A4TF.01A.11R.A262.07"
"290"	2	"TCGA.MP.A4SY.01A.21R.A24X.07"
"291"	2	"TCGA.63.A5MG.01A.12R.A27Q.07"
"292"	2	"TCGA.L3.A4E7.01A.11R.A24Z.07"
"293"	2	"TCGA.XC.AA0X.01A.32R.A405.07"
"294"	2	"TCGA.69.A59K.01A.11R.A262.07"
"295"	2	"TCGA.58.A46L.01A.11R.A24H.07"
"296"	2	"TCGA.NC.A5HP.01A.11R.A26W.07"
"297"	2	"TCGA.23.2078.01A.01R.1568.13"
