"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"ABSCOR"
"2504"	"Dendritic.cells.activated"	"V425"	-0.018362099	0.056173545	0.018362099
"2505"	"T.cells.CD8"	"V680"	0.0183	0.05638141	0.018346612
"2506"	"T.cells.gamma.delta"	"V269"	0.0183	0.056789674	0.018316331
"2507"	"NK.cells.resting"	"V1225"	-0.0183	0.057490482	0.018264773
"2508"	"T.cells.regulatory..Tregs."	"V1378"	-0.0183	0.057509032	0.018263415
"2509"	"NK.cells.resting"	"V1226"	0.0182	0.057703424	0.01824921
"2510"	"Mast.cells.activated"	"V131"	0.01818286	0.058618654	0.01818286
"2511"	"Eosinophils"	"V773"	0.018179203	0.058669448	0.018179203
"2512"	"Neutrophils"	"V252"	0.018155502	0.058999524	0.018155502
"2513"	"Monocytes"	"V521"	0.018149011	0.05909019	0.018149011
"2514"	"Monocytes"	"V758"	0.018143022	0.059173948	0.018143022
"2515"	"NK.cells.activated"	"V843"	-0.01809094	0.05990648	0.01809094
"2516"	"NK.cells.resting"	"V82"	0.0181	0.060240273	0.018067383
"2517"	"Mast.cells.activated"	"V833"	-0.017972988	0.061593311	0.017972988
"2518"	"Neutrophils"	"V668"	-0.017967476	0.061673091	0.017967476
"2519"	"B.cells.memory"	"V671"	0.0179	0.062228127	0.01792929
"2520"	"Macrophages.M2"	"V1226"	0.017901512	0.062634479	0.017901512
"2521"	"Macrophages.M1"	"V485"	-0.017892676	0.062764201	0.017892676
"2522"	"NK.cells.activated"	"V986"	0.017856275	0.063300933	0.017856275
"2523"	"NK.cells.activated"	"V116"	0.0178	0.064075042	0.017804221
"2524"	"Monocytes"	"V1164"	0.017782033	0.064407378	0.017782033
"2525"	"T.cells.CD4.memory.resting"	"V882"	0.0177	0.065236981	0.017727055
"2526"	"Mast.cells.activated"	"V116"	0.017724842	0.06527055	0.017724842
"2527"	"Monocytes"	"V240"	0.017713939	0.065436181	0.017713939
"2528"	"Mast.cells.activated"	"V252"	-0.017656063	0.066321235	0.017656063
"2529"	"Neutrophils"	"V630"	-0.017586865	0.067392334	0.017586865
"2530"	"T.cells.follicular.helper"	"V814"	-0.0176	0.067698118	0.017567276
"2531"	"Macrophages.M2"	"V63"	-0.017483733	0.069015075	0.017483733
"2532"	"Plasma.cells"	"V357"	0.0174	0.069665682	0.017442943
"2533"	"Macrophages.M2"	"V2"	-0.017436144	0.069774602	0.017436144
"2534"	"T.cells.CD4.memory.resting"	"V843"	0.0174	0.070397048	0.017397461
"2535"	"Macrophages.M2"	"V139"	-0.017392287	0.070480645	0.017392287
"2536"	"Dendritic.cells.activated"	"V1313"	0.017384187	0.070611692	0.017384187
"2537"	"Plasma.cells"	"V28"	-0.0173	0.071407835	0.017335237
"2538"	"T.cells.follicular.helper"	"V458"	0.0173	0.071964291	0.017301289
"2539"	"Dendritic.cells.activated"	"V352"	0.017225258	0.073223443	0.017225258
"2540"	"T.cells.gamma.delta"	"V240"	-0.0172	0.073702862	0.01719659
"2541"	"T.cells.follicular.helper"	"V1225"	-0.0172	0.074047194	0.017176094
"2542"	"Plasma.cells"	"V1002"	-0.0172	0.074268313	0.017162973
"2543"	"Mast.cells.activated"	"V1061"	0.017133826	0.074761439	0.017133826
"2544"	"Dendritic.cells.resting"	"V736"	-0.0171193	0.075008192	0.0171193
"2545"	"T.cells.follicular.helper"	"V1032"	0.017	0.076990595	0.017003995
"2546"	"Dendritic.cells.resting"	"V271"	0.017003232	0.077003857	0.017003232
"2547"	"T.cells.regulatory..Tregs."	"V522"	-0.017	0.077125525	0.016996236
"2548"	"NK.cells.activated"	"V923"	0.016996214	0.077125905	0.016996214
"2549"	"Monocytes"	"V451"	-0.016953564	0.077870954	0.016953564
"2550"	"T.cells.gamma.delta"	"V712"	-0.0169	0.077985515	0.016947036
"2551"	"T.cells.CD4.memory.resting"	"V1303"	-0.0169	0.077991459	0.016946698
"2552"	"T.cells.gamma.delta"	"V680"	-0.0169	0.077999877	0.016946218
"2553"	"NK.cells.resting"	"V67"	0.0169	0.078373006	0.016925012
"2554"	"T.cells.gamma.delta"	"V139"	0.0169	0.078557611	0.016914551
"2555"	"T.cells.CD4.naive"	"V738"	-0.0169	0.078595777	0.016912391
"2556"	"T.cells.CD4.naive"	"V405"	-0.0169	0.078717002	0.016905535
"2557"	"T.cells.CD4.memory.activated"	"V413"	-0.0169	0.079117952	0.01688292
"2558"	"Macrophages.M2"	"V882"	0.016838667	0.079907324	0.016838667
"2559"	"NK.cells.resting"	"V1313"	0.0168	0.080274475	0.016818205
"2560"	"B.cells.naive"	"V843"	-0.016817068	0.080294914	0.016817068
"2561"	"NK.cells.activated"	"V840"	0.016816859	0.080298666	0.016816859
"2562"	"Mast.cells.activated"	"V494"	0.016810034	0.080421474	0.016810034
"2563"	"T.cells.CD4.naive"	"V425"	-0.0168	0.080919432	0.016782444
"2564"	"Macrophages.M2"	"V252"	0.016782264	0.080922697	0.016782264
"2565"	"T.cells.gamma.delta"	"V1254"	0.0168	0.081493272	0.01675082
"2566"	"Mast.cells.activated"	"V479"	-0.016739109	0.081706611	0.016739109
"2567"	"Eosinophils"	"V649"	0.016678448	0.082818952	0.016678448
"2568"	"Plasma.cells"	"V425"	0.0167	0.083162996	0.01665982
"2569"	"Neutrophils"	"V482"	0.016644181	0.083452706	0.016644181
"2570"	"T.cells.gamma.delta"	"V671"	-0.0166	0.083496529	0.01664182
"2571"	"Neutrophils"	"V1116"	-0.01663486	0.083625782	0.01663486
"2572"	"Eosinophils"	"V1195"	-0.016633899	0.083643638	0.016633899
"2573"	"B.cells.memory"	"V668"	-0.0166	0.084105209	0.01660912
"2574"	"Plasma.cells"	"V1117"	-0.0166	0.084216368	0.016603169
"2575"	"T.cells.CD4.naive"	"V352"	0.0166	0.085057112	0.016558364
"2576"	"Macrophages.M1"	"V659"	-0.016548061	0.0852514	0.016548061
"2577"	"Neutrophils"	"V295"	0.016518647	0.085808042	0.016518647
"2578"	"T.cells.CD4.naive"	"V946"	0.0165	0.086811372	0.016466016
"2579"	"Macrophages.M2"	"V736"	-0.01641388	0.087814589	0.01641388
"2580"	"T.cells.CD4.naive"	"V46"	0.0164	0.088115324	0.016398345
"2581"	"T.cells.CD8"	"V405"	0.0164	0.088849713	0.016360587
"2582"	"B.cells.memory"	"V789"	0.0164	0.088874241	0.01635933
"2583"	"Plasma.cells"	"V579"	-0.0163	0.089297861	0.016337669
"2584"	"B.cells.naive"	"V63"	-0.016291469	0.09020682	0.016291469
"2585"	"Neutrophils"	"V680"	0.016285917	0.090316551	0.016285917
"2586"	"Mast.cells.resting"	"V464"	-0.016240485	0.091218537	0.016240485
"2587"	"Dendritic.cells.activated"	"V1226"	0.016224512	0.091537353	0.016224512
"2588"	"Mast.cells.activated"	"V1119"	0.016197607	0.092076426	0.016197607
"2589"	"T.cells.gamma.delta"	"V55"	0.0162	0.092487036	0.016177198
"2590"	"T.cells.regulatory..Tregs."	"V63"	-0.0162	0.09264017	0.016169605
"2591"	"T.cells.gamma.delta"	"V1145"	-0.0162	0.092963689	0.016153597
"2592"	"T.cells.CD4.memory.activated"	"V28"	-0.0161	0.093041733	0.016149743
"2593"	"T.cells.CD4.memory.resting"	"V923"	-0.016	0.095099412	0.016049028
"2594"	"T.cells.gamma.delta"	"V630"	0.016	0.09515205	0.016046475
"2595"	"T.cells.CD4.memory.activated"	"V1117"	0.016	0.095379564	0.016035451
"2596"	"Eosinophils"	"V521"	0.016013344	0.095837157	0.016013344
"2597"	"T.cells.regulatory..Tregs."	"V777"	0.016	0.096921109	0.01596131
"2598"	"Eosinophils"	"V946"	0.015939975	0.097368394	0.015939975
"2599"	"Eosinophils"	"V758"	0.015933259	0.097509534	0.015933259
"2600"	"Plasma.cells"	"V814"	0.0159	0.097542755	0.015931679
"2601"	"Monocytes"	"V946"	0.015904807	0.09810926	0.015904807
"2602"	"Eosinophils"	"V669"	0.015894481	0.098327643	0.015894481
"2603"	"Plasma.cells"	"V747"	-0.0159	0.098345962	0.015893616
"2604"	"B.cells.naive"	"V1116"	-0.015762832	0.101146084	0.015762832
"2605"	"Macrophages.M0"	"V425"	-0.015699731	0.102519603	0.015699731
"2606"	"B.cells.memory"	"V567"	0.0156	0.103630716	0.015649176
"2607"	"Dendritic.cells.resting"	"V1275"	0.015603799	0.104636148	0.015603799
"2608"	"B.cells.naive"	"V814"	-0.015577433	0.105223908	0.015577433
"2609"	"B.cells.memory"	"V1119"	0.0156	0.105265064	0.015575591
"2610"	"Eosinophils"	"V148"	-0.015547253	0.105899895	0.015547253
"2611"	"Monocytes"	"V754"	0.015531833	0.106246591	0.015531833
"2612"	"NK.cells.activated"	"V736"	-0.015511168	0.106712657	0.015511168
"2613"	"Monocytes"	"V28"	0.015440191	0.108325721	0.015440191
"2614"	"Plasma.cells"	"V712"	0.0154	0.108355295	0.015438898
"2615"	"Neutrophils"	"V12"	-0.01542403	0.108695702	0.01542403
"2616"	"Macrophages.M2"	"V464"	0.015384176	0.109612331	0.015384176
"2617"	"T.cells.follicular.helper"	"V522"	-0.0153	0.111455268	0.015304838
"2618"	"Dendritic.cells.activated"	"V146"	-0.01529591	0.111664195	0.01529591
"2619"	"Mast.cells.resting"	"V923"	0.015277235	0.112102165	0.015277235
"2620"	"Plasma.cells"	"V923"	0.0153	0.112418251	0.015263793
"2621"	"T.cells.follicular.helper"	"V789"	0.0153	0.112717577	0.015251092
"2622"	"Mast.cells.activated"	"V659"	-0.015238583	0.113012975	0.015238583
"2623"	"T.cells.gamma.delta"	"V887"	0.0152	0.113200342	0.015230662
"2624"	"Dendritic.cells.activated"	"V1064"	-0.015218153	0.113496737	0.015218153
"2625"	"T.cells.regulatory..Tregs."	"V670"	0.0152	0.11467378	0.01516873
"2626"	"NK.cells.activated"	"V754"	0.015168607	0.114676735	0.015168607
"2627"	"Dendritic.cells.resting"	"V257"	-0.015132693	0.115538082	0.015132693
"2628"	"T.cells.gamma.delta"	"V305"	0.0151	0.116871518	0.015077508
"2629"	"Mast.cells.resting"	"V305"	0.015060509	0.117284694	0.015060509
"2630"	"T.cells.CD4.memory.activated"	"V485"	-0.015	0.118600521	0.015006683
"2631"	"Macrophages.M2"	"V521"	0.014991532	0.118973002	0.014991532
"2632"	"NK.cells.resting"	"V870"	0.015	0.118990586	0.014990817
"2633"	"Macrophages.M0"	"V649"	0.014988195	0.119055156	0.014988195
"2634"	"Macrophages.M2"	"V630"	-0.014938871	0.120274726	0.014938871
"2635"	"B.cells.memory"	"V758"	0.0149	0.121186338	0.014902257
"2636"	"T.cells.follicular.helper"	"V67"	0.0149	0.121778035	0.014878607
"2637"	"B.cells.memory"	"V336"	-0.0149	0.122285052	0.014858413
"2638"	"Dendritic.cells.activated"	"V814"	0.014856722	0.12232759	0.014856722
"2639"	"Mast.cells.activated"	"V887"	0.014840617	0.122733227	0.014840617
"2640"	"Macrophages.M0"	"V257"	0.014840299	0.122741261	0.014840299
"2641"	"Plasma.cells"	"V1378"	0.0148	0.123040198	0.014828458
"2642"	"T.cells.CD8"	"V522"	-0.0148	0.123748971	0.014800472
"2643"	"T.cells.follicular.helper"	"V926"	-0.0148	0.124733397	0.014761809
"2644"	"T.cells.CD4.memory.activated"	"V67"	0.0148	0.124910795	0.014754867
"2645"	"T.cells.CD4.memory.activated"	"V63"	0.0147	0.125785182	0.014720763
"2646"	"Neutrophils"	"V898"	0.01471165	0.126019632	0.01471165
"2647"	"T.cells.gamma.delta"	"V881"	0.0147	0.126642592	0.014687499
"2648"	"Monocytes"	"V366"	0.014670463	0.127083484	0.014670463
"2649"	"T.cells.regulatory..Tregs."	"V467"	0.0147	0.127286602	0.01466263
"2650"	"T.cells.CD4.memory.activated"	"V116"	0.0146	0.127880287	0.01463979
"2651"	"Macrophages.M1"	"V67"	0.014621836	0.128348496	0.014621836
"2652"	"T.cells.CD4.naive"	"V670"	0.0146	0.128544815	0.014614323
"2653"	"Neutrophils"	"V856"	-0.014599019	0.128945433	0.014599019
"2654"	"Macrophages.M2"	"V494"	0.014535791	0.130610875	0.014535791
"2655"	"Neutrophils"	"V1194"	-0.01450903	0.131320783	0.01450903
"2656"	"B.cells.naive"	"V670"	0.014474915	0.132230093	0.014474915
"2657"	"NK.cells.resting"	"V1275"	-0.0145	0.13249521	0.014465003
"2658"	"Plasma.cells"	"V55"	-0.0145	0.132654822	0.014459043
"2659"	"T.cells.gamma.delta"	"V882"	-0.0144	0.132944957	0.014448223
"2660"	"B.cells.memory"	"V647"	0.0144	0.133914937	0.014412182
"2661"	"T.cells.CD8"	"V870"	-0.0143	0.13627004	0.014325507
"2662"	"B.cells.memory"	"V870"	0.0143	0.136602486	0.014313365
"2663"	"Mast.cells.activated"	"V271"	-0.014265536	0.13791815	0.014265536
"2664"	"Plasma.cells"	"V540"	-0.0142	0.138830288	0.014232583
"2665"	"T.cells.gamma.delta"	"V523"	-0.0142	0.139497527	0.014208583
"2666"	"Neutrophils"	"V442"	-0.014180474	0.140282155	0.014180474
"2667"	"T.cells.CD4.memory.resting"	"V442"	0.0142	0.140951294	0.014156597
"2668"	"T.cells.regulatory..Tregs."	"V271"	-0.0141	0.14161513	0.014132995
"2669"	"T.cells.CD4.naive"	"V271"	0.0141	0.142357065	0.014106717
"2670"	"T.cells.gamma.delta"	"V485"	0.0141	0.142488806	0.014102062
"2671"	"Macrophages.M1"	"V521"	0.014084468	0.142987583	0.014084468
"2672"	"Plasma.cells"	"V413"	-0.0141	0.143397458	0.014070044
"2673"	"Neutrophils"	"V305"	-0.014031727	0.14449074	0.014031727
"2674"	"Monocytes"	"V257"	0.013985885	0.145807083	0.013985885
"2675"	"T.cells.gamma.delta"	"V856"	0.014	0.146061541	0.01397706
"2676"	"T.cells.gamma.delta"	"V494"	0.014	0.146559666	0.013959819
"2677"	"Plasma.cells"	"V1195"	-0.014	0.146723961	0.013954142
"2678"	"T.cells.CD8"	"V485"	-0.0139	0.146955975	0.013946133
"2679"	"Dendritic.cells.activated"	"V564"	0.013938045	0.147190588	0.013938045
"2680"	"Mast.cells.resting"	"V139"	0.013886397	0.14869544	0.013886397
"2681"	"Neutrophils"	"V36"	0.013871845	0.149121564	0.013871845
"2682"	"T.cells.gamma.delta"	"V540"	-0.0139	0.149173872	0.013870061
"2683"	"Plasma.cells"	"V366"	0.0139	0.14924232	0.013867727
"2684"	"T.cells.CD4.memory.activated"	"V82"	0.0139	0.149695944	0.01385228
"2685"	"NK.cells.activated"	"V1224"	0.013845679	0.149890088	0.013845679
"2686"	"Plasma.cells"	"V840"	0.0138	0.151833031	0.013779982
"2687"	"Neutrophils"	"V736"	-0.013742063	0.152963163	0.013742063
"2688"	"Mast.cells.resting"	"V882"	-0.013728847	0.153358534	0.013728847
"2689"	"T.cells.CD4.memory.activated"	"V207"	0.0137	0.15473486	0.013683044
"2690"	"Plasma.cells"	"V8"	0.0137	0.154756789	0.013682316
"2691"	"T.cells.CD4.naive"	"V712"	-0.0137	0.155133161	0.013669846
"2692"	"T.cells.gamma.delta"	"V518"	0.0136	0.156159509	0.013635957
"2693"	"T.cells.gamma.delta"	"V1303"	-0.0136	0.156933096	0.013610525
"2694"	"T.cells.regulatory..Tregs."	"V286"	0.0136	0.156984914	0.013608824
"2695"	"B.cells.memory"	"V1032"	0.0136	0.157508943	0.013591655
"2696"	"Plasma.cells"	"V511"	-0.0135	0.15880668	0.013549321
"2697"	"Monocytes"	"V467"	0.013539391	0.159112254	0.013539391
"2698"	"Dendritic.cells.resting"	"V63"	0.013519246	0.159733535	0.013519246
"2699"	"Plasma.cells"	"V163"	-0.0135	0.160061662	0.01350863
"2700"	"T.cells.follicular.helper"	"V28"	-0.0135	0.160200298	0.01350415
"2701"	"T.cells.CD4.memory.activated"	"V1313"	-0.0135	0.160461896	0.013495704
"2702"	"T.cells.follicular.helper"	"V881"	-0.0135	0.160544848	0.013493028
"2703"	"Monocytes"	"V426"	-0.013460316	0.161561462	0.013460316
"2704"	"Macrophages.M2"	"V413"	-0.013442758	0.162109145	0.013442758
"2705"	"Mast.cells.activated"	"V28"	-0.013415184	0.162972063	0.013415184
"2706"	"T.cells.gamma.delta"	"V1195"	-0.0134	0.163324318	0.01340396
"2707"	"B.cells.memory"	"V67"	0.0134	0.16345579	0.013399775
"2708"	"B.cells.memory"	"V579"	-0.0134	0.164910973	0.013353627
"2709"	"T.cells.gamma.delta"	"V895"	0.0133	0.165972221	0.013320164
"2710"	"Monocytes"	"V271"	0.013317196	0.166066596	0.013317196
"2711"	"Mast.cells.resting"	"V63"	0.013294347	0.16679451	0.013294347
"2712"	"Dendritic.cells.resting"	"V567"	-0.013267314	0.16765879	0.013267314
"2713"	"Eosinophils"	"V269"	0.01322493	0.169020635	0.01322493
"2714"	"NK.cells.resting"	"V116"	-0.0132	0.169360788	0.013214384
"2715"	"T.cells.gamma.delta"	"V786"	-0.0132	0.170155311	0.013189811
"2716"	"Dendritic.cells.resting"	"V1117"	0.013179789	0.170480183	0.013179789
"2717"	"Plasma.cells"	"V482"	-0.0132	0.170679236	0.013173655
"2718"	"Mast.cells.resting"	"V286"	0.013149828	0.171454118	0.013149828
"2719"	"Neutrophils"	"V1313"	-0.013121416	0.172381523	0.013121416
"2720"	"T.cells.follicular.helper"	"V882"	0.0131	0.172874365	0.013106364
"2721"	"NK.cells.resting"	"V394"	-0.0131	0.173904071	0.013075018
"2722"	"NK.cells.activated"	"V163"	0.0131	0.174399387	0.01305999
"2723"	"T.cells.CD8"	"V257"	0.013	0.175482498	0.013027237
"2724"	"B.cells.memory"	"V1204"	-0.013	0.175751857	0.013019115
"2725"	"Plasma.cells"	"V1246"	-0.013	0.176021468	0.013010995
"2726"	"T.cells.follicular.helper"	"V494"	0.013	0.176118508	0.013008075
"2727"	"Neutrophils"	"V451"	-0.01299973	0.176396021	0.01299973
"2728"	"B.cells.naive"	"V887"	0.012989757	0.176728084	0.012989757
"2729"	"NK.cells.resting"	"V881"	0.013	0.176846898	0.012986193
"2730"	"B.cells.memory"	"V1366"	0.0129	0.181266487	0.012854838
"2731"	"Macrophages.M2"	"V146"	0.012847189	0.181526338	0.012847189
"2732"	"Dendritic.cells.activated"	"V271"	0.012837648	0.181850884	0.012837648
"2733"	"Macrophages.M1"	"V1226"	0.012830987	0.182077714	0.012830987
"2734"	"Plasma.cells"	"V405"	0.0128	0.182607384	0.012815456
"2735"	"Dendritic.cells.resting"	"V564"	-0.012814382	0.182644068	0.012814382
"2736"	"T.cells.regulatory..Tregs."	"V804"	0.0128	0.184018356	0.012774247
"2737"	"T.cells.CD4.memory.resting"	"V668"	0.0127	0.184859622	0.012749788
"2738"	"Eosinophils"	"V523"	0.012721791	0.185826049	0.012721791
"2739"	"NK.cells.resting"	"V1112"	-0.0127	0.18609461	0.01271403
"2740"	"T.cells.CD4.memory.activated"	"V291"	0.0127	0.18722522	0.012681448
"2741"	"T.cells.CD8"	"V2"	-0.0127	0.187519359	0.012672996
"2742"	"Macrophages.M1"	"V804"	-0.012656673	0.188088311	0.012656673
"2743"	"NK.cells.activated"	"V1275"	-0.012653059	0.188214474	0.012653059
"2744"	"Eosinophils"	"V405"	0.012651182	0.188280003	0.012651182
"2745"	"T.cells.CD8"	"V601"	-0.0126	0.189329392	0.012621195
"2746"	"Mast.cells.activated"	"V257"	0.012577508	0.190865893	0.012577508
"2747"	"T.cells.CD4.memory.resting"	"V856"	0.0125	0.192128005	0.012541816
"2748"	"Eosinophils"	"V467"	-0.012533573	0.192420354	0.012533573
"2749"	"Eosinophils"	"V28"	0.012507236	0.193356626	0.012507236
"2750"	"Mast.cells.resting"	"V1164"	-0.012497408	0.193706866	0.012497408
"2751"	"B.cells.memory"	"V1246"	-0.0125	0.194314299	0.012480394
"2752"	"NK.cells.activated"	"V46"	0.0125	0.19447504	0.012475898
"2753"	"Plasma.cells"	"V593"	-0.0124	0.195931194	0.012435295
"2754"	"T.cells.gamma.delta"	"V1043"	-0.0124	0.197028342	0.012404847
"2755"	"Macrophages.M0"	"V1032"	0.012392985	0.197456983	0.012392985
"2756"	"B.cells.naive"	"V789"	0.012368365	0.198348858	0.012368365
"2757"	"B.cells.memory"	"V593"	0.0123	0.199384242	0.012339885
"2758"	"T.cells.gamma.delta"	"V661"	-0.0123	0.200101678	0.012320213
"2759"	"Mast.cells.activated"	"V758"	-0.012286426	0.201338332	0.012286426
"2760"	"Eosinophils"	"V336"	0.012259126	0.202341603	0.012259126
"2761"	"Plasma.cells"	"V669"	0.0122	0.20324499	0.012234628
"2762"	"Macrophages.M2"	"V579"	0.012215927	0.203936602	0.012215927
"2763"	"T.cells.CD4.memory.activated"	"V523"	0.0121	0.20674191	0.01214054
"2764"	"Macrophages.M1"	"V1326"	0.012117339	0.207610887	0.012117339
"2765"	"NK.cells.resting"	"V342"	0.0121	0.210044803	0.012052727
"2766"	"T.cells.CD4.naive"	"V579"	-0.0121	0.210094182	0.012051422
"2767"	"T.cells.CD4.memory.resting"	"V579"	-0.012	0.210271495	0.012046737
"2768"	"Plasma.cells"	"V949"	0.012	0.210384691	0.012043748
"2769"	"T.cells.CD4.memory.activated"	"V8"	0.012	0.210499228	0.012040724
"2770"	"Eosinophils"	"V466"	-0.011995597	0.212214059	0.011995597
"2771"	"Dendritic.cells.resting"	"V522"	-0.011941649	0.214277269	0.011941649
"2772"	"T.cells.CD8"	"V413"	0.0119	0.214364754	0.01193937
"2773"	"Plasma.cells"	"V786"	0.0119	0.214787674	0.011928361
"2774"	"Macrophages.M2"	"V67"	0.011857172	0.217537077	0.011857172
"2775"	"T.cells.gamma.delta"	"V1233"	0.0118	0.218483173	0.011832825
"2776"	"Mast.cells.resting"	"V28"	0.011817449	0.219082163	0.011817449
"2777"	"T.cells.gamma.delta"	"V46"	0.0118	0.220460227	0.011782189
"2778"	"T.cells.CD4.memory.activated"	"V257"	-0.0118	0.220562475	0.01177958
"2779"	"Macrophages.M1"	"V464"	0.01172729	0.222618259	0.01172729
"2780"	"Dendritic.cells.resting"	"V887"	0.011686423	0.224234462	0.011686423
"2781"	"Eosinophils"	"V1326"	0.01167809	0.224565029	0.01167809
"2782"	"Macrophages.M0"	"V405"	-0.011665415	0.225068538	0.011665415
"2783"	"Eosinophils"	"V1313"	-0.01162795	0.226561503	0.01162795
"2784"	"NK.cells.activated"	"V1233"	-0.011621387	0.22682378	0.011621387
"2785"	"Dendritic.cells.resting"	"V649"	-0.011596331	0.227826981	0.011596331
"2786"	"T.cells.CD4.naive"	"V593"	0.0116	0.229135046	0.01156378
"2787"	"T.cells.CD4.naive"	"V1032"	-0.0116	0.229408217	0.011556999
"2788"	"T.cells.CD4.memory.activated"	"V466"	-0.0116	0.229465939	0.011555567
"2789"	"T.cells.CD8"	"V271"	0.0115	0.229748285	0.011548565
"2790"	"Mast.cells.activated"	"V1313"	-0.011547646	0.229785344	0.011547646
"2791"	"T.cells.gamma.delta"	"V466"	-0.0115	0.229964133	0.011543216
"2792"	"T.cells.CD4.memory.resting"	"V479"	0.0115	0.230611217	0.011527204
"2793"	"Plasma.cells"	"V139"	-0.0115	0.230773605	0.01152319
"2794"	"T.cells.regulatory..Tregs."	"V564"	-0.0115	0.230907456	0.011519884
"2795"	"T.cells.CD4.naive"	"V1170"	-0.0115	0.231793557	0.011498028
"2796"	"T.cells.CD8"	"V630"	0.0114	0.234828954	0.011423605
"2797"	"Dendritic.cells.resting"	"V139"	-0.011408072	0.23546603	0.011408072
"2798"	"T.cells.CD4.naive"	"V870"	0.0114	0.23558381	0.011405203
"2799"	"Macrophages.M1"	"V451"	0.011374467	0.236848473	0.011374467
"2800"	"T.cells.CD4.naive"	"V2"	-0.0114	0.236862404	0.011374129
"2801"	"T.cells.CD4.naive"	"V1069"	-0.0114	0.237504304	0.011358573
"2802"	"T.cells.gamma.delta"	"V82"	0.0114	0.237725252	0.011353225
"2803"	"Eosinophils"	"V960"	-0.011350661	0.237831275	0.011350661
"2804"	"Dendritic.cells.resting"	"V479"	0.011312175	0.239426181	0.011312175
"2805"	"T.cells.CD4.naive"	"V139"	-0.0113	0.239621291	0.011307479
"2806"	"Plasma.cells"	"V487"	-0.0113	0.239686086	0.011305921
"2807"	"T.cells.CD4.memory.activated"	"V352"	-0.0113	0.23977908	0.011303684
"2808"	"Plasma.cells"	"V12"	-0.0113	0.241548145	0.011261251
"2809"	"B.cells.memory"	"V240"	-0.0113	0.241724339	0.011257036
"2810"	"Dendritic.cells.resting"	"V1002"	-0.011232568	0.242749114	0.011232568
"2811"	"Macrophages.M0"	"V1209"	0.01121525	0.243476263	0.01121525
"2812"	"T.cells.CD8"	"V67"	0.0112	0.245879695	0.011158267
"2813"	"Neutrophils"	"V485"	0.011139831	0.246660857	0.011139831
"2814"	"T.cells.gamma.delta"	"V949"	0.0111	0.24669164	0.011139105
"2815"	"T.cells.CD4.naive"	"V360"	-0.0111	0.247624471	0.011117145
"2816"	"Neutrophils"	"V814"	0.011102625	0.248242584	0.011102625
"2817"	"T.cells.gamma.delta"	"V1132"	-0.0111	0.248325504	0.011100679
"2818"	"Macrophages.M0"	"V464"	0.011084987	0.248994887	0.011084987
"2819"	"Neutrophils"	"V1326"	-0.011061957	0.249979609	0.011061957
"2820"	"T.cells.gamma.delta"	"V442"	0.011	0.25095177	0.011039282
"2821"	"Monocytes"	"V1112"	-0.010999123	0.252679995	0.010999123
"2822"	"T.cells.follicular.helper"	"V342"	-0.011	0.253221362	0.010986583
"2823"	"Eosinophils"	"V342"	-0.010975181	0.253714297	0.010975181
"2824"	"Mast.cells.activated"	"V946"	0.010933856	0.25550645	0.010933856
"2825"	"Macrophages.M0"	"V458"	0.010927473	0.255784046	0.010927473
"2826"	"NK.cells.activated"	"V1378"	0.010926374	0.255831842	0.010926374
"2827"	"T.cells.CD8"	"V521"	0.0109	0.258698544	0.010860746
"2828"	"T.cells.CD4.memory.activated"	"V712"	-0.0108	0.26002469	0.010830556
"2829"	"Mast.cells.activated"	"V336"	0.010827403	0.260163467	0.010827403
"2830"	"B.cells.memory"	"V881"	-0.0108	0.260278291	0.010824795
"2831"	"T.cells.regulatory..Tregs."	"V207"	-0.0108	0.262547855	0.01077341
"2832"	"Macrophages.M0"	"V82"	-0.010764356	0.26294916	0.010764356
"2833"	"Eosinophils"	"V1132"	-0.010759114	0.263181696	0.010759114
"2834"	"T.cells.gamma.delta"	"V960"	-0.0108	0.263490046	0.010752167
"2835"	"B.cells.memory"	"V788"	-0.0108	0.263505373	0.010751822
"2836"	"NK.cells.resting"	"V814"	0.0107	0.264168422	0.010736905
"2837"	"T.cells.follicular.helper"	"V777"	0.0107	0.264242587	0.010735239
"2838"	"NK.cells.activated"	"V661"	-0.010733297	0.264329	0.010733297
"2839"	"B.cells.memory"	"V736"	0.0107	0.264590469	0.010727424
"2840"	"Eosinophils"	"V271"	0.01072509	0.264694438	0.01072509
"2841"	"T.cells.CD4.memory.activated"	"V442"	-0.0107	0.267113302	0.010670964
"2842"	"Eosinophils"	"V426"	-0.010630139	0.268947752	0.010630139
"2843"	"Monocytes"	"V148"	0.010596256	0.270476819	0.010596256
"2844"	"NK.cells.activated"	"V1032"	-0.010542182	0.272929423	0.010542182
"2845"	"NK.cells.activated"	"V888"	-0.010496868	0.274996378	0.010496868
"2846"	"Neutrophils"	"V28"	-0.010453684	0.276976069	0.010453684
"2847"	"Mast.cells.activated"	"V220"	0.010402597	0.279330599	0.010402597
"2848"	"T.cells.gamma.delta"	"V896"	0.0104	0.279485718	0.010399241
"2849"	"Monocytes"	"V1313"	-0.010371351	0.280777379	0.010371351
"2850"	"T.cells.CD4.naive"	"V253"	0.0104	0.280940509	0.010367834
"2851"	"Dendritic.cells.resting"	"V949"	0.010353873	0.281588842	0.010353873
