GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_C07_474578.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_H08_523532.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A12_257620.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B06_698756.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_C02_779646.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A09_523492.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_F07_523500.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_A10_779748.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D07_767832.CEL	Urogenital cancer	Urogenital cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_G06_474746.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_A11_241062.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F09_698838.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_H02_569500.CEL	Urogenital cancer	Urogenital cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H02_474606.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B08_436602.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D01_240922.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A03_295994.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F12_698834.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F06_569466.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A07_240862.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_F03_296114.CEL	Urogenital cancer	Urogenital cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D06_474634.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B11_436604.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G07_241006.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H02_296160.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F10_419784.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D02_767966.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B12_698934.CEL	Urogenital cancer	Urogenital cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_C08_474696.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B07_240886.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E12_240968.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_E08_569464.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_D12_241136.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_E10_698932.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_F02_383714.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_C01_257646.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F04_569506.CEL	Urogenital cancer	Urogenital cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F12_454700.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_F12_523606.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_H08_569488.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F08_436450.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_E11_419774.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C11_767808.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A08_257612.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B06_240884.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B03_779770.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_B11_257642.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_C04_257652.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_D05_296070.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_B10_257640.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B10_767824.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_E10_241156.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_A09_241058.CEL	Urogenital cancer	Urogenital cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_G01_587622.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G01_240994.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_A05_383732.CEL	Urogenital cancer	Urogenital cancer
